idx,cer_before,cer_after,len_before,len_after,gt_before,gt_after,pr_before,pr_after,cer_delta_after_minus_before
0,1.3333,1.0,6,3,吞口水都会疼,老人家,有后候觉得都复不够,牙老间,-0.33329999999999993
1,1.1667,1.0,6,4,脑袋有点发蒙,指头那里,脑一会突然抖一下,急直头这的,-0.16670000000000007
2,1.1429,1.0,7,2,老是往上冒酸味,能忍,吃一点就觉得顶着,间骨,-0.14290000000000003
3,1.1111,0.8,9,5,心跳节奏感觉不太对,有抽烟习惯,有时候胸前会一阵刺痛,有有个西的,-0.31109999999999993
4,1.0,0.8,7,5,喉咙总是干干的,腹股沟那里,吞口水都会疼,过过里,-0.19999999999999996
5,1.0,0.8,8,5,身体会突然抖一下,吞咽时会痛,走几步腿就软,腿一颜时会疼,-0.19999999999999996
6,1.0,0.8,5,5,刚生完孩子,担心是骨折,始嗡直,刚身是色,-0.19999999999999996
7,1.0,0.75,9,8,痰积在喉咙里很难受,坐着不动也会出汗,每天都会咳出痰来,作了不疼一加会出下,-0.25
8,1.0,0.75,5,4,吞咽时会痛,不算厉害,块严夜时就会疼,不睡的下,-0.25
9,1.0,0.75,4,4,有家族史,做过彩超,有加子作次,做这吃差,-0.25
10,1.0,0.75,11,4,手指像被电了一下麻麻的,用过喷剂,感觉周围在晃,过很西,-0.25
11,1.0,0.75,2,4,能忍,体温升高,想不,里位人高,-0.25
12,1.0,0.75,6,4,手腕转动会疼,全身无力,这个部位动不了,全,-0.25
13,0.8947,0.75,19,4,昨天晚上烧到将近[UNK][UNK]度,小腿那里,做都完上小了加尿三始手度,少得那,-0.14470000000000005
14,0.8889,0.7143,9,7,量出来血压比平时低,看近处字不清楚,最近血压读数都偏高,嘴前区不清,-0.17459999999999998
15,0.8571,0.7143,7,7,说一会儿话就累,医生判断是肠炎,说声音会显变低了,医生排得时常炎也,-0.14279999999999993
16,0.8571,0.7143,7,7,一直没完全恢复,检查说骨质疏松,一没有胃觉会复服,肩查说鼓几数肿,-0.14279999999999993
17,0.8333,0.6667,6,3,吃什么都不香,小孩子,吃马老么着头不响,小汗,-0.16660000000000008
18,0.8333,0.6667,6,3,背靠下的位置,打过针,半好下过围时,打不中,-0.16660000000000008
19,0.8,0.6667,5,6,有抽烟习惯,一按肚子就哭,有抽有的吸的,没饮影都子就哭,-0.13330000000000009
20,0.8,0.6667,5,6,头转得厉害,昨天吐了两次,老哭觉得害,作点吐个两始,-0.13330000000000009
21,0.8,0.6667,5,12,腹股沟那里,昨天晚上烧到将近三十九度,腹无更根了里,都晚上小了想影三始手度,-0.13330000000000009
22,0.8,0.6667,5,9,腹股沟那里,头疼得像要炸开一样,肤复过那厉,脑这疼得像眨开了一,-0.13330000000000009
23,0.8,0.6667,5,6,休息了一下,背靠下的位置,手起出拉一下,半靠下个月受,-0.13330000000000009
24,0.7778,0.6364,9,11,头疼得像要炸开一样,手指像被电了一下麻麻的,脑个疼得想像候饭开害了一样,手子像被前来麻慢里,-0.14140000000000008
25,0.75,0.625,8,8,痰颜色发白还挺黏,身体会突然抖一下,痰出发的还偏尿痰,心里会突很抖害,-0.125
26,0.75,0.625,4,8,指头那里,光线强就睁不开眼,直突过里,热上胀就肿不开也,-0.125
27,0.75,0.625,4,8,用过喷剂,孩子一直闹腾不安,过很结,孩近直自没得不安,-0.125
28,0.75,0.625,4,8,体温升高,皮肤好像比以前薄,比没人高,皮肤好上皮前有脖,-0.125
29,0.75,0.6,4,10,腰靠中间,视野变窄同时视线闪光,有中前,视变这同食时现三光,-0.15000000000000002
30,0.75,0.6,4,5,下颚这里,腹股沟那里,过这一,腹表那下里,-0.15000000000000002
31,0.6667,0.6,3,5,背上方,不愿意吃饭,背白上,不越咽饭,-0.06669999999999998
32,0.6667,0.6,3,5,老人家,尿的时候疼,老干,尿不路疼,-0.06669999999999998
33,0.6667,0.6,6,5,睡到半夜醒来,休息了一下,不到伴觉人来,手吃拉一下,-0.06669999999999998
34,0.6667,0.6,6,5,今天早上才有,家里人也有,心天躁高上在有,家得痒有,-0.06669999999999998
35,0.6667,0.5882,6,17,今天早上才有,最近老觉得身上发冷就算盖被子也不暖,今年查了在有,最近脑觉得上发能又上感肢眼不卵,-0.07850000000000001
36,0.625,0.5882,8,17,孩子一直闹腾不安,这两天体温一直偏高大概三十八度左右,孩近子老动不安,喉两天体一直偏高抬间三起排路昨又要,-0.036800000000000055
37,0.6,0.5833,5,12,平时锻炼少,心脏那块偶尔会针扎一样疼,平时断量,心那块微会总那也痒疼,-0.016699999999999937
38,0.6,0.5714,5,7,尿的时候疼,两条腿摸着冰凉,尿不烧子疼,脸头腿摸着害,-0.02859999999999996
39,0.6,0.5714,5,7,刚生完孩子,每到换季就这样,刚始个子,没到会气就过样,-0.02859999999999996
40,0.6,0.5714,5,7,家里人也有,医生怀疑是甲亢,家得压有,医生怀易加汗,-0.02859999999999996
41,0.5833,0.5714,12,7,这几天整个人都没劲不想动,会不会有后遗症,几身的人动没劲不下疼,会不会要过意阵,-0.011900000000000022
42,0.5714,0.5714,7,7,有时候几乎没有,之前有类似情况,有时服没特,之前有内时劲,0.0
43,0.5714,0.5714,7,7,每到换季就这样,胃里像着火一样,每到会几急就过样,里脚火样,0.0
44,0.5714,0.5714,7,7,会不会有后遗症,老是往上冒酸味,会不会过一阵,那是完上么酸微,0.0
45,0.5714,0.5714,7,7,会不会影响寿命,看近处字不清楚,会不一影显受鸣,看情处持不,0.0
46,0.5714,0.5714,7,7,之前有类似情况,多汗伴盗汗明显,之前有累时劲,多上伴到上鸣显,0.0
47,0.5714,0.5556,7,9,会不会影响身体,突然心跳加速很害怕,会不会好生低,吐来心跳加说很还快,-0.015800000000000036
48,0.5714,0.5455,7,11,看近处字不清楚,一阵一阵打冷颤浑身发抖,看情区处持不清,一阵重打冷颤,-0.025900000000000034
49,0.5714,0.5,7,4,会不会拖成大病,没有精神,会会疼痛子大病,浑有近神,-0.07140000000000002
50,0.5714,0.5,7,4,一直没完全恢复,偏右一点,一上没晚觉恢服,偏一右就点,-0.07140000000000002
51,0.5714,0.5,7,4,走一段路腿就疼,打过疫苗,头一动动腿住疼,打过一面,-0.07140000000000002
