idx,cer_before,cer_after,len_before,len_after,gt_before,gt_after,pr_before,pr_after,cer_delta_after_minus_before
0,1.3333,1.0,6,3,吞口水都会疼,老人家,有后候觉得都复不够,牙老间,-0.33329999999999993
3,1.1111,0.8,9,5,心跳节奏感觉不太对,有抽烟习惯,有时候胸前会一阵刺痛,有有个西的,-0.31109999999999993
12,1.0,0.75,6,4,手腕转动会疼,全身无力,这个部位动不了,全,-0.25
11,1.0,0.75,2,4,能忍,体温升高,想不,里位人高,-0.25
10,1.0,0.75,11,4,手指像被电了一下麻麻的,用过喷剂,感觉周围在晃,过很西,-0.25
9,1.0,0.75,4,4,有家族史,做过彩超,有加子作次,做这吃差,-0.25
7,1.0,0.75,9,8,痰积在喉咙里很难受,坐着不动也会出汗,每天都会咳出痰来,作了不疼一加会出下,-0.25
8,1.0,0.75,5,4,吞咽时会痛,不算厉害,块严夜时就会疼,不睡的下,-0.25
5,1.0,0.8,8,5,身体会突然抖一下,吞咽时会痛,走几步腿就软,腿一颜时会疼,-0.19999999999999996
4,1.0,0.8,7,5,喉咙总是干干的,腹股沟那里,吞口水都会疼,过过里,-0.19999999999999996
6,1.0,0.8,5,5,刚生完孩子,担心是骨折,始嗡直,刚身是色,-0.19999999999999996
14,0.8889,0.7143,9,7,量出来血压比平时低,看近处字不清楚,最近血压读数都偏高,嘴前区不清,-0.17459999999999998
1,1.1667,1.0,6,4,脑袋有点发蒙,指头那里,脑一会突然抖一下,急直头这的,-0.16670000000000007
18,0.8333,0.6667,6,3,背靠下的位置,打过针,半好下过围时,打不中,-0.16660000000000008
17,0.8333,0.6667,6,3,吃什么都不香,小孩子,吃马老么着头不响,小汗,-0.16660000000000008
30,0.75,0.6,4,5,下颚这里,腹股沟那里,过这一,腹表那下里,-0.15000000000000002
29,0.75,0.6,4,10,腰靠中间,视野变窄同时视线闪光,有中前,视变这同食时现三光,-0.15000000000000002
13,0.8947,0.75,19,4,昨天晚上烧到将近[UNK][UNK]度,小腿那里,做都完上小了加尿三始手度,少得那,-0.14470000000000005
2,1.1429,1.0,7,2,老是往上冒酸味,能忍,吃一点就觉得顶着,间骨,-0.14290000000000003
15,0.8571,0.7143,7,7,说一会儿话就累,医生判断是肠炎,说声音会显变低了,医生排得时常炎也,-0.14279999999999993
16,0.8571,0.7143,7,7,一直没完全恢复,检查说骨质疏松,一没有胃觉会复服,肩查说鼓几数肿,-0.14279999999999993
24,0.7778,0.6364,9,11,头疼得像要炸开一样,手指像被电了一下麻麻的,脑个疼得想像候饭开害了一样,手子像被前来麻慢里,-0.14140000000000008
19,0.8,0.6667,5,6,有抽烟习惯,一按肚子就哭,有抽有的吸的,没饮影都子就哭,-0.13330000000000009
20,0.8,0.6667,5,6,头转得厉害,昨天吐了两次,老哭觉得害,作点吐个两始,-0.13330000000000009
21,0.8,0.6667,5,12,腹股沟那里,昨天晚上烧到将近三十九度,腹无更根了里,都晚上小了想影三始手度,-0.13330000000000009
22,0.8,0.6667,5,9,腹股沟那里,头疼得像要炸开一样,肤复过那厉,脑这疼得像眨开了一,-0.13330000000000009
23,0.8,0.6667,5,6,休息了一下,背靠下的位置,手起出拉一下,半靠下个月受,-0.13330000000000009
28,0.75,0.625,4,8,体温升高,皮肤好像比以前薄,比没人高,皮肤好上皮前有脖,-0.125
25,0.75,0.625,8,8,痰颜色发白还挺黏,身体会突然抖一下,痰出发的还偏尿痰,心里会突很抖害,-0.125
26,0.75,0.625,4,8,指头那里,光线强就睁不开眼,直突过里,热上胀就肿不开也,-0.125
27,0.75,0.625,4,8,用过喷剂,孩子一直闹腾不安,过很结,孩近直自没得不安,-0.125
35,0.6667,0.5882,6,17,今天早上才有,最近老觉得身上发冷就算盖被子也不暖,今年查了在有,最近脑觉得上发能又上感肢眼不卵,-0.07850000000000001
51,0.5714,0.5,7,4,走一段路腿就疼,打过疫苗,头一动动腿住疼,打过一面,-0.07140000000000002
52,0.5714,0.5,7,6,看近处字不清楚,比别人更怕热,最近区重不清,比变过更下热,-0.07140000000000002
78,0.5,0.4286,6,7,今天比昨天久,有时候几乎没有,今跳比天,有候肌服没有,-0.07140000000000002
79,0.5,0.4286,6,7,最近特别能吃,刚吃完又觉得饿,最近别冷嗽,感完又觉得没,-0.07140000000000002
80,0.5,0.4286,8,7,血压偏低又老犯困,回答问题反应慢,血压偏低还头睡,会到么问题反应慢,-0.07140000000000002
82,0.5,0.4286,4,7,小腿那里,总是不自觉流泪,烧那里,总食不子觉流来,-0.07140000000000002
81,0.5,0.4286,4,7,有点麻烦,会不会影响寿命,有点慢了,会不一影响受敏,-0.07140000000000002
84,0.5,0.4286,4,7,两边都有,说一会儿话就累,两点头有,说一会发就乱,-0.07140000000000002
49,0.5714,0.5,7,4,会不会拖成大病,没有精神,会会疼痛子大病,浑有近神,-0.07140000000000002
83,0.5,0.4286,4,7,情绪紧张,最近闻不到味道,情出紧,最近过不到胃动,-0.07140000000000002
50,0.5714,0.5,7,4,一直没完全恢复,偏右一点,一上没晚觉恢服,偏一右就点,-0.07140000000000002
34,0.6667,0.6,6,5,今天早上才有,家里人也有,心天躁高上在有,家得痒有,-0.06669999999999998
33,0.6667,0.6,6,5,睡到半夜醒来,休息了一下,不到伴觉人来,手吃拉一下,-0.06669999999999998
32,0.6667,0.6,3,5,老人家,尿的时候疼,老干,尿不路疼,-0.06669999999999998
31,0.6667,0.6,3,5,背上方,不愿意吃饭,背白上,不越咽饭,-0.06669999999999998
76,0.5,0.4444,6,9,一按肚子就哭,鼻涕多嗓子也不舒服,影都子就哭,鼻涕嗓不舒,-0.05559999999999998
75,0.5,0.4444,4,9,手指发麻,眼皮跳动还频繁眨眼,手子话发麻,眼皮咳动还并繁眨着眼眼,-0.05559999999999998
74,0.5,0.4444,8,9,一阵持续十几分钟,照镜子发现嘴有点歪,一持续近分觉,要近肢发现最有点歪,-0.05559999999999998
73,0.5,0.4444,6,9,一按肚子就哭,脖子这老毛病颈椎病,一眼肚一子就突,子个老毛病整病,-0.05559999999999998
77,0.5,0.4444,8,9,皮肤好像比以前薄,耳朵里有液体流出来,皮肤好响皮比前有薄,耳朵里有一涕出了,-0.05559999999999998
53,0.5455,0.5,11,4,一阵一阵打冷颤浑身发抖,说话含糊,一阵一阵打发眼冷在,说寒糊,-0.045499999999999985
72,0.5,0.4545,6,11,吸气时胸部疼,先是肚子胀气后来肚子疼,急气时胸不痛,显时之胀气一来肚子疼,-0.045499999999999985
36,0.625,0.5882,8,17,孩子一直闹腾不安,这两天体温一直偏高大概三十八度左右,孩近子老动不安,喉两天体一直偏高抬间三起排路昨又要,-0.036800000000000055
91,0.4286,0.4,7,10,刚吃完又觉得饿,起水疱又皮肤过敏反应,感吃完又转得么,涕最疱又皮肤这反应,-0.02859999999999996
38,0.6,0.5714,5,7,尿的时候疼,两条腿摸着冰凉,尿不烧子疼,脸头腿摸着害,-0.02859999999999996
39,0.6,0.5714,5,7,刚生完孩子,每到换季就这样,刚始个子,没到会气就过样,-0.02859999999999996
92,0.4286,0.4,7,5,平时身体还可以,需要忌口吗,平时深体还火,胸需要急口吗,-0.02859999999999996
93,0.4286,0.4,7,5,回答问题反应慢,头转得厉害,会到问嚏反应慢,老不转得厉害,-0.02859999999999996
94,0.4286,0.4,7,5,需要观察几天吗,没有过敏史,需要管了几吗,没有这过史,-0.02859999999999996
40,0.6,0.5714,5,7,家里人也有,医生怀疑是甲亢,家得压有,医生怀易加汗,-0.02859999999999996
96,0.4286,0.4,7,10,喉咙有东西卡着,吐出来的东西颜色很深,喉肚有都西卡了,个吃的东西严色很深,-0.02859999999999996
95,0.4286,0.4,7,5,会不会拖成大病,刚生完孩子,不会拖近大停,刚时个孩子,-0.02859999999999996
90,0.4444,0.4167,9,12,吐出来后还是肚子疼,白天还好一到晚上就憋气醒,吐出然还又时肚子疼,白上好到晚上憋气心,-0.027700000000000002
